method,criterion,reached_by_density_bin_median,sufficient_density_per_10000km2,sufficient_median_nn_km,sufficient_exact_class_accuracy,max_tested_trial_density_per_10000km2,max_density_bin_median_per_10000km2,best_density_bin,best_density_bin_exact_class_accuracy,keep_fraction_0p9_median_density_per_10000km2,keep_fraction_0p9_median_exact_class_accuracy,trial_fraction_meeting_criterion,trial_max_exact_class_accuracy,interpretation
gmpe_raw,exact>=0.65,False,,,,0.0,0.0,"[0.0, 5.0)",0.4552426083744156,0.0,0.45041595764794856,0.004545454545454545,0.7777777777777778,not_reached_within_tested_density_range
gmpe_raw,exact>=0.68,False,,,,0.0,0.0,"[0.0, 5.0)",0.4552426083744156,0.0,0.45041595764794856,0.0015151515151515152,0.7777777777777778,not_reached_within_tested_density_range
gmpe_raw,exact>=0.70,False,,,,0.0,0.0,"[0.0, 5.0)",0.4552426083744156,0.0,0.45041595764794856,0.0015151515151515152,0.7777777777777778,not_reached_within_tested_density_range
gmpe_raw,exact>=0.80,False,,,,0.0,0.0,"[0.0, 5.0)",0.4552426083744156,0.0,0.45041595764794856,0.0,0.7777777777777778,not_reached_within_tested_density_range
gmpe_raw,exact>=0.90,False,,,,0.0,0.0,"[0.0, 5.0)",0.4552426083744156,0.0,0.45041595764794856,0.0,0.7777777777777778,not_reached_within_tested_density_range
gmpe_calibrated,exact>=0.65,False,,,,71.5773658995031,57.67957091090264,"[20.0, 30.0)",0.5912408759124088,54.11393320404626,0.5848907190370605,0.06060606060606061,0.7777777777777778,not_reached_within_tested_density_range
gmpe_calibrated,exact>=0.68,False,,,,71.5773658995031,57.67957091090264,"[20.0, 30.0)",0.5912408759124088,54.11393320404626,0.5848907190370605,0.010606060606060607,0.7777777777777778,not_reached_within_tested_density_range
gmpe_calibrated,exact>=0.70,False,,,,71.5773658995031,57.67957091090264,"[20.0, 30.0)",0.5912408759124088,54.11393320404626,0.5848907190370605,0.006060606060606061,0.7777777777777778,not_reached_within_tested_density_range
gmpe_calibrated,exact>=0.80,False,,,,71.5773658995031,57.67957091090264,"[20.0, 30.0)",0.5912408759124088,54.11393320404626,0.5848907190370605,0.0,0.7777777777777778,not_reached_within_tested_density_range
gmpe_calibrated,exact>=0.90,False,,,,71.5773658995031,57.67957091090264,"[20.0, 30.0)",0.5912408759124088,54.11393320404626,0.5848907190370605,0.0,0.7777777777777778,not_reached_within_tested_density_range
idw,exact>=0.65,True,6.643208051197418,12.987497637987932,0.6564153863159058,71.5773658995031,57.67957091090264,"[50.0, 75.0)",0.7028627525492431,54.11393320404626,0.6938330170777989,0.7606060606060606,0.7833333333333333,empirically_reached
idw,exact>=0.68,True,23.315309001848767,6.885194359260537,0.6903073286052009,71.5773658995031,57.67957091090264,"[50.0, 75.0)",0.7028627525492431,54.11393320404626,0.6938330170777989,0.5106060606060606,0.7833333333333333,empirically_reached
idw,exact>=0.70,True,57.67957091090264,4.3487995530631345,0.7028627525492431,71.5773658995031,57.67957091090264,"[50.0, 75.0)",0.7028627525492431,54.11393320404626,0.6938330170777989,0.27121212121212124,0.7833333333333333,empirically_reached
idw,exact>=0.80,False,,,,71.5773658995031,57.67957091090264,"[50.0, 75.0)",0.7028627525492431,54.11393320404626,0.6938330170777989,0.0,0.7833333333333333,not_reached_within_tested_density_range
idw,exact>=0.90,False,,,,71.5773658995031,57.67957091090264,"[50.0, 75.0)",0.7028627525492431,54.11393320404626,0.6938330170777989,0.0,0.7833333333333333,not_reached_within_tested_density_range
kriging,exact>=0.65,True,6.643208051197418,12.987497637987932,0.654154970834713,71.5773658995031,57.67957091090264,"[50.0, 75.0)",0.7036129032258065,54.11393320404626,0.6948861515490855,0.7318181818181818,0.8260869565217391,empirically_reached
kriging,exact>=0.68,True,23.315309001848767,6.885194359260537,0.6829971181556196,71.5773658995031,57.67957091090264,"[50.0, 75.0)",0.7036129032258065,54.11393320404626,0.6948861515490855,0.45,0.8260869565217391,empirically_reached
kriging,exact>=0.70,True,57.67957091090264,4.3487995530631345,0.7036129032258065,71.5773658995031,57.67957091090264,"[50.0, 75.0)",0.7036129032258065,54.11393320404626,0.6948861515490855,0.24242424242424243,0.8260869565217391,empirically_reached
kriging,exact>=0.80,False,,,,71.5773658995031,57.67957091090264,"[50.0, 75.0)",0.7036129032258065,54.11393320404626,0.6948861515490855,0.0015151515151515152,0.8260869565217391,not_reached_within_tested_density_range
kriging,exact>=0.90,False,,,,71.5773658995031,57.67957091090264,"[50.0, 75.0)",0.7036129032258065,54.11393320404626,0.6948861515490855,0.0,0.8260869565217391,not_reached_within_tested_density_range
gmpe_kriging,exact>=0.65,True,6.643208051197418,12.987497637987932,0.6539766360273922,71.5773658995031,57.67957091090264,"[50.0, 75.0)",0.7034006539064097,54.11393320404626,0.6955177304964539,0.7303030303030303,0.8260869565217391,empirically_reached
gmpe_kriging,exact>=0.68,True,23.315309001848767,6.885194359260537,0.6806989674344718,71.5773658995031,57.67957091090264,"[50.0, 75.0)",0.7034006539064097,54.11393320404626,0.6955177304964539,0.43787878787878787,0.8260869565217391,empirically_reached
gmpe_kriging,exact>=0.70,True,57.67957091090264,4.3487995530631345,0.7034006539064097,71.5773658995031,57.67957091090264,"[50.0, 75.0)",0.7034006539064097,54.11393320404626,0.6955177304964539,0.24242424242424243,0.8260869565217391,empirically_reached
gmpe_kriging,exact>=0.80,False,,,,71.5773658995031,57.67957091090264,"[50.0, 75.0)",0.7034006539064097,54.11393320404626,0.6955177304964539,0.0015151515151515152,0.8260869565217391,not_reached_within_tested_density_range
gmpe_kriging,exact>=0.90,False,,,,71.5773658995031,57.67957091090264,"[50.0, 75.0)",0.7034006539064097,54.11393320404626,0.6955177304964539,0.0,0.8260869565217391,not_reached_within_tested_density_range
